Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/02/2026 11:00 AM ET,"4802 51ST ST W APT 604 BRADENTON, FL- 34210","$151,903.73","$141,100.00","$151,903.73",412025CA000801CAAXMA,5165816509,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000801CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/5165816509
06/02/2026 11:00 AM ET,"4209 WILLOW HAMMOCK DR PALMETTO, FL- 34221","$6,885.58","$237,970.00","$6,885.58",412025CC002309CCAXMA,745029459,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CC002309CCAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/745029459
06/03/2026 11:00 AM ET,"419 GRIS SKY LN BRADENTON, FL- 34212","$387,373.60","$406,871.00","$261,000.00",412024CA000322CAAXMA,556720209,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412024CA000322CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/556720209
06/03/2026 11:00 AM ET,"4126 91ST AVE E PARRISH, FL- 34219","$55,549.03","$309,684.00","$55,549.03",412025CA000777CAAXMA,741020459,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000777CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/741020459
06/03/2026 11:00 AM ET,"11522 84TH STREET CIR E UNIT 1 PARRISH, FL- 34219","$266,951.57","$225,246.00","$266,951.57",412025CA000902CAAXMA,465520109,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000902CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/465520109
06/03/2026 11:00 AM ET,"2411 51ST AVENUE DR W BRADENTON, FL- 34207","$68,873.64","$77,605.00","$70,196.88",412025CA001008CAAXMA,5329000003,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA001008CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/5329000003
06/03/2026 11:00 AM ET,"4312 80TH ST W BRADENTON, FL- 34209","$235,227.21","$104,331.00","$235,227.21",412025CA002459CAAXMA,5159400000,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA002459CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/5159400000
06/09/2026 11:00 AM ET,"1711 17TH ST W PALMETTO, FL- 34221","$747,978.85","$625,361.00","$747,978.85",412015CA002051CAAXMA,2800600005,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412015CA002051CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/2800600005
06/09/2026 11:00 AM ET,"2309 64TH ST W BRADENTON, FL- 34209","$411,160.62","$452,372.00","$411,160.62",412025CA000597CAAXMA,3938601808,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000597CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/3938601808
06/10/2026 11:00 AM ET,"6006 66TH STREET CIR E PALMETTO, FL- 34221","$190,601.31","$283,181.00","$190,601.31",412023CA004171CAAXMA,662401553,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412023CA004171CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/662401553
